SchemeCode,SchemeName
Scheme Code,ISIN Div Reinvestment
119237,INF740KA1OZ5
105669,-
105668,INF740K01GN1
111786,INF740KA1PA5
105667,INF740K01GL5
105878,INF740K01GP6
118495,-
118496,INF090I01HA0
100498,INF090I01BO4
148308,-
148307,-
147982,-
147984,-
147983,-
147981,-
147985,-
147988,-
147987,-
148309,-
100499,-
147986,-
148310,-
145589,-
145590,-
145596,INF666M01EL3
145595,INF666M01EP4
145591,INF666M01ER0
145597,INF666M01EN9
145593,INF666M01ET6
145598,INF666M01EX8
145592,INF666M01EZ3
145594,INF666M01EV2
101872,-
119075,-
119072,INF179K01WD0
101874,INF179K01863
133369,-
133370,-
119073,INF179K01WF5
101873,INF179K01889
119074,INF179K01WH1
101875,INF179K01939
151088,INF917K01VM6
151087,-
151086,INF917K01GY2
151089,INF917K01VO2
151084,-
151085,INF677K01932
113218,INF109K01GP4
130937,-
120601,INF109K013E2
120603,-
120600,INF109K015E7
120602,INF109K018E1
120604,INF109K010F5
130938,-
112096,-
112097,INF109K01GL3
112094,-
113403,INF109K01GF5
101351,INF109K01704
113220,INF109K01GJ7
101350,-
113417,INF109K01GH1
149030,INF00XX01BG5
149029,-
149028,INF00XX01BF7
149023,INF00XX01BD2
149025,INF00XX01BE0
149027,INF00XX01AX2
149021,-
149026,INF00XX01AW4
149022,INF00XX01AU8
149024,INF00XX01AV6
120432,INF192K01CZ8
120434,INF192K01DC5
133414,INF192K01IM3
120433,INF192K01DA9
122323,-
105639,INF192K01668
101806,-
133389,-
101805,INF192K01692
133390,INF192K01IK7
105637,INF192K01676
101807,INF192K01742
122315,-
120435,-
133388,-
105638,INF192K01718
101808,-
119753,-
119755,-
117998,INF174K01IZ3
108511,-
144403,-
144406,INF174V01598
144404,INF174V01614
144401,-
144405,INF174V01549
144402,INF174V01564
140769,-
140770,INF769K01DT4
140772,INF769K01DQ0
140771,-
118750,INF204K01A41
118749,INF204K01A66
118747,-
102851,INF204K01FK6
117974,INF204K01XC6
102849,-
120084,-
120085,INF663L01AE5
120086,INF663L01AH8
116483,INF663L01500
116484,INF663L01534
116485,-
122260,-
134494,-
134493,INF082J01192
141061,-
141060,INF082J01234
119671,-
119670,INF200K01RC6
102205,-
102206,INF200K01974
119097,-
101909,-
101224,INF277K01352
119098,INF277K01MU7
119311,-
119310,INF582M01807
116555,-
116556,INF582M01344
148118,-
148117,-
148125,INF789F1AQD7
148124,INF789F1AQF2
148120,INF789F1AQB1
148121,INF789F1APZ2
148122,INF789F1APU3
148123,INF789F1APW9
148119,INF789F1APS7
148126,INF789F1APQ1
135536,INF789FA1S73
133180,INF789FA1S99
120762,-
134788,INF789FA1S57
120763,INF789F01XC6
133852,INF789FA1S16
135336,INF789FA1S32
113077,-
139181,INF789FA1R90
113078,INF789F01JP7
122645,-
122648,-
122646,-
122643,INF209KA1LN1
122647,INF209K01MH7
122644,-
122649,INF209K01MI5
122650,-
149055,INF846K015A3
149050,INF846K011B0
149049,-
149051,INF846K017A9
149052,INF846K010B2
149047,INF846K013B6
149054,INF846K019B3
149048,-
149053,INF846K015B1
149046,INF846K017B7
148717,INF194KB1BK4
148714,INF194KB1BB3
148711,-
148713,INF194KB1BE7
148715,INF194KB1BI8
148712,INF194KB1BG2
148716,INF194KB1BC1
148718,INF194KB1AZ4
148710,INF194KB1AQ3
148705,-
148707,INF194KB1AT7
148709,INF194KB1AX9
148706,INF194KB1AV3
148708,INF194KB1AR1
148771,-
148769,INF740KA1PX7
148768,-
148770,INF740KA1PU3
118508,-
118507,-
101048,-
101044,-
106838,INF179K01699
118959,-
118961,-
118960,INF179K01VP6
118962,-
106841,-
106839,INF179K01723
106840,INF179K01749
130899,-
101804,-
120423,INF109K01P24
120427,-
120425,-
120426,INF109K01P32
122607,INF109K017Z8
125216,INF109K019Z4
120424,INF109K01P81
101803,-
101802,-
115510,INF109K01WP1
122606,INF109KA1020
122891,INF109KA1046
111545,INF109K01AY9
101800,-
101796,-
101795,-
111544,INF109K01944
101799,-
101794,-
101793,-
111543,INF109K01985
101801,-
101798,-
101797,-
111546,INF109K01AC5
147269,-
147267,INF174KA1EF3
147266,-
147265,INF174KA1EB2
118656,-
102676,INF204K01CI7
118654,INF204K01D71
124590,INF204KA1DV6
118655,INF204K01D97
118661,INF204K01D06
118660,INF204K01E13
102673,-
124589,INF204KA1DT0
102675,INF204K01CK3
112942,INF204K01HL0
102677,INF204K01CJ5
148550,-
148551,INF200KA1R80
148549,INF200KA1S06
148543,-
148544,INF200KA1R31
148546,INF200KA1R56
149007,-
149037,INF277KA1075
149000,-
149033,INF277KA1067
149002,-
149034,INF277KA1083
149001,-
149003,-
149035,INF277KA1141
149004,-
149036,INF277KA1133
149006,-
149038,INF277KA1158
149005,-
145295,-
145287,-
145293,INF789F1ADB9
145291,INF789F1ADF0
145296,INF789F1ADD5
145290,INF789F1ACZ0
145289,INF789F1ACS5
145292,INF789F1ACW7
145288,INF789F1ACU1
145294,INF789F1ACQ9
119606,-
100057,INF209K01DP9
100058,INF209K01AD1
119605,-
128957,-
120447,-
120448,INF846K01DE2
120449,INF846K01DH5
116471,-
116472,INF846K01BB2
116470,INF846K01CL9
153206,-
153207,INF0QA701AR5
153211,-
153209,INF0QA701AO2
108558,INF194K01EA3
108559,INF194K01ED7
108557,INF194K01EG0
131395,INF194KA1RX4
111525,-
111527,INF194K01EJ4
118467,INF194K01Q60
118464,-
118465,INF194K01Q37
118463,INF194K01R28
131394,INF194KA1SA0
118466,INF194K01Q94
119341,-
119340,INF955L01AC9
101187,-
101188,INF955L01443
118299,-
118298,INF760K01FB6
100597,-
100596,INF760K01AC5
119099,-
119101,INF740K01NI7
119100,INF740K01NH9
100084,-
100085,INF740K01AD5
100086,INF740K01AE3
140309,INF843K01HA8
140298,-
140302,INF843K01GV6
140306,-
140308,INF843K01GY0
140304,-
140310,INF843K01HK7
140297,-
140301,INF843K01HF7
140305,-
140307,INF843K01HI1
140303,-
118498,-
118497,INF090I01HR4
100493,-
100494,INF090I01CT1
153477,-
153502,INF666M01KM8
153503,-
153504,INF666M01KP1
119116,-
101083,-
119115,INF179K01VT8
101084,INF179K01764
151014,-
151015,INF917K01FJ5
151013,-
151012,INF917K01BO4
130903,-
120590,-
120589,INF109K017C7
130955,-
100369,-
100368,INF109K01JP8
130902,-
120607,INF109K013D4
120608,-
120609,INF109K016D7
130956,-
100370,INF109K01JV6
100371,-
100372,INF109K01JY0
107476,INF205K01SK6
120520,-
120519,INF205K01SM2
120521,INF205K01SO8
120522,INF205K01SQ3
107477,-
107471,INF205K01SS9
107472,INF205K01SU5
100281,-
119757,-
100280,-
100265,-
119759,-
100264,INF174K01FJ3
119758,-
120282,-
120283,INF767K01FA3
100319,-
100318,INF767K01725
100317,-
100316,INF767K01691
118670,INF204K01XR4
118674,INF204K01E62
118669,-
118673,-
118672,-
109717,-
109723,INF204K01BW0
109720,-
109716,-
109721,-
133265,-
133264,-
109718,-
109724,-
138471,-
138472,-
138476,-
138474,-
138470,-
138475,-
138467,INF223J01AP8
151228,-
151230,-
151229,INF966L01BH3
151231,INF966L01BK7
102061,-
101933,-
101934,-
101932,-
119707,-
119706,INF200K01SG5
101950,INF200K01AD0
101951,INF200K01AG3
101952,INF200K01AJ7
101935,INF200K01AM1
101001,-
100999,INF200K01AA6
102046,-
101945,-
119954,INF277K01OW9
101049,INF277K01535
101042,-
119953,-
